Oogstdatum,Oogstjaar,Perceel,Ras,Tonnen,Koeling of,Datum laatste bespuiting,Middel en dosering/ha,Veiligheidstermijn (dgn.),Opmerkingen
13-Sep,2012,2b en 3,elstar,8.4,koeling,22-Aug,"captan 0,7kg",7,
13-Sep,2012,2b en 3,kroet,3,afgezet,22-Aug,"captan 0,7kg",7,
15-Sep,2012,3,elstar,2.4,koeling,22-Aug,"captan 0,7kg",7,
17-Sep,2012,3,elstar,6,koeling,22-Aug,"captan 0,7kg",7,
18-Sep,2012,3,elstar,9.6,koeling,22-Aug,"captan 0,7kg",7,
19-Sep,2012,3,elstar,10.8,koeling,22-Aug,"captan 0,7kg",7,
20-Sep,2012,2b en 3,elstar,9.6,koeling,22-Aug,"captan 0,7kg",7,
21-Sep,2012,2b,elstar,9,koeling,22-Aug,"captan 0,7kg",7,
21-Sep,2012,2a,golden,4.8,koeling,31-Aug,"captan 0,7kg",7,
22-Sep,2012,5,golden,6.9,koeling,08-Sep,"captan 0,7kg",7,
22-Sep,2012,"2b,3en5",kroet,3.3,afgezet,08-Sep,"captan 0,7kg",7,
24-Sep,2012,2a,golden,4.8,koeling,31-Aug,"captan 0,7kg",7,
25-Sep,2012,2a,golden,17.1,koeling,31-Aug,"captan 0,7kg",7,
26-Sep,2012,2a,golden,12,koeling,31-Aug,"captan 0,7kg",7,
27-Sep,2012,2a,golden,10.5,koeling,31-Aug,"captan 0,7kg",7,
28-Sep,2012,2a,golden,4.8,koeling,31-Aug,"captan 0,7kg",7,
28-Sep,2012,2b,elstar,4.5,koeling,22-Aug,"captan 0,7kg",7,
29-Sep,2012,4,jonagored,3.9,koeling,08-Sep,"captan 0,7kg",7,
29-Sep,2012,"2a,2ben4",kroet,3,afgezet,08-Sep,"captan 0,7kg",7,
01-Oct,2012,4,jonagored,5.1,koeling,08-Sep,"captan 0,7kg",7,
01-Oct,2012,3,elstar,4.8,afgezet,22-Aug,"captan 0,7kg",7,
02-Oct,2012,4,jonagored,6.3,koeling,08-Sep,"captan 0,7kg",7,
02-Oct,2012,3,elstar,3.6,afgezet,22-Aug,"captan 0,7kg",7,
03-Oct,2012,4,jonagored,6.6,koeling,08-Sep,"captan 0,7kg",7,
03-Oct,2012,4a,jonasupra,1.2,koeling,08-Sep,"captan 0,7kg",7,
03-Oct,2012,3,elstar,4.5,afgezet,22-Aug,"captan 0,7kg",7,
04-Oct,2012,4a,jonasupra,3.6,koeling,08-Sep,"captan 0,7kg",7,
05-Oct,2012,4,jonagored,1.8,koeling,08-Sep,"captan 0,7kg",7,
05-Oct,2012,2c,junami,5.1,koeling,08-Sep,"captan 0,7kg",7,
06-Oct,2012,4a,jonasupra,2.4,koeling,08-Sep,"captan 0,7kg",7,
06-Oct,2012,2c,junami,0.6,koeling,08-Sep,"captan 0,7kg",7,
06-Oct,2012,"2c,3,4,4a",kroet,2.1,afgezet,08-Sep,"captan 0,7kg",7,
07-Oct,2012,4a,jonasupra,1.2,koeling,08-Sep,"captan 0,7kg",7,
07-Oct,2012,1 en 2a,golden,0.6,afgezet,31-Aug,"captan 0,7kg",7,
08-Oct,2012,2c,junami,8.4,koeling,08-Sep,"captan 0,7kg",7,
09-Oct,2012,2c en 5,junami,8.4,koeling,08-Sep,"captan 0,7kg",7,
10-Oct,2012,5,junami,10.2,koeling,08-Sep,"captan 0,7kg",7,
11-Oct,2012,5 en 2c,junami,9,koeling,08-Sep,"captan 0,7kg",7,
12-Oct,2012,2c,junami,3,koeling,08-Sep,"captan 0,7kg",7,
12-Oct,2012,"1,2a,2c,4a en 5",kroet,2.7,afgezet,08-Sep,"captan 0,7kg",7,
15-Oct,2012,4,jonagored,7.2,koeling,08-Sep,"captan 0,7kg",7,
16-Oct,2012,4,jonagored,12,koeling,08-Sep,"captan 0,7kg",7,
16-Oct,2012,4a,jonasupra,1.2,koeling,08-Sep,"captan 0,7kg",7,
17-Oct,2012,4a,jonasupra,3.9,koeling,08-Sep,"captan 0,7kg",7,
17-Oct,2012,4,jonagored,2.4,koeling,08-Sep,"captan 0,7kg",7,
18-Oct,2012,2c,junami,9.9,koeling,08-Sep,"captan 0,7kg",7,
19-Oct,2012,5,junami,8.7,koeling,08-Sep,"captan 0,7kg",7,
20-Oct,2012,5,junami,1.5,koeling,08-Sep,"captan 0,7kg",7,
20-Oct,2012,4,jonagored,1.8,koeling,08-Sep,"captan 0,7kg",7,
20-Oct,2012,"2c,4,4a en 5",kroet,4.8,afgezet,08-Sep,"captan 0,7kg",7,
22-Oct,2012,2c,junami,1.5,koeling,08-Sep,"captan 0,7kg",7,
23-Oct,2012,4,jonagored,11.1,koeling,08-Sep,"captan 0,7kg",7,
24-Oct,2012,4,jonagored,14.4,koeling,08-Sep,"captan 0,7kg",7,
25-Oct,2012,4,jonagored,14.4,koeling,08-Sep,"captan 0,7kg",7,
25-Oct,2012,2c en 4,kroet,5.4,afgezet,08-Sep,"captan 0,7kg",7,
12-Aug,2011,4,delcorf,1,afgezet,21-Jul,"captan 1,2kg/ha",21,
23-Aug,2011,4,delcorf,3.5,afgezet,23-Aug,"bellis 0,8 kg/ha",7,
23-Aug,2011,3,elstar,7.8,koeling,15-Aug,"captan 0,6kg/ha",7,
23-Aug,2011,3,kroet,0.9,afgezet,15-Aug,"captan 0,6kg/ha",7,
24-Aug,2011,3,elstar,8.7,koeling,15-Aug,"captan 0,6kg/ha",7,
24-Aug,2011,3,kroet,0.6,afgezet,15-Aug,"captan 0,6kg/ha",7,
25-Aug,2011,3,elstar,2.4,koeling,15-Aug,"captan 0,6kg/ha",7,
30-Aug,2011,2b,elstar,5.7,koeling,15-Aug,"captan 0,6kg/ha",7,
01-Sep,2011,2b en 3,elstar,10.2,koeling,15-Aug,"captan 0,6kg/ha",7,
02-Sep,2011,2b en 3,elstar,10.5,koeling,15-Aug,"captan 0,6kg/ha",7,
02-Sep,2011,2b en 3,kroet,0.6,afgezet,15-Aug,"captan 0,6kg/ha",7,
03-Sep,2011,3,elstar,2.4,koeling,15-Aug,"captan 0,6kg/ha",7,
05-Sep,2011,3,elstar,14.7,koeling,15-Aug,"captan 0,6kg/ha",7,
06-Sep,2011,3,elstar,12.6,koeling,15-Aug,"captan 0,6kg/ha",7,
07-Sep,2011,3,elstar,13.8,koeling,15-Aug,"captan 0,6kg/ha",7,
08-Sep,2011,3,elstar,12.6,koeling,15-Aug,"captan 0,6kg/ha",7,
09-Sep,2011,2b en 3,elstar,5.1,koeling,15-Aug,"captan 0,6kg/ha",7,
09-Sep,2011,2a,golden,1.2,koeling,24-Aug,"captan 0,6kg/ha",7,
10-Sep,2011,2b en 3,kroet,2.4,afgezet,24-Aug,"captan 0,6kg/ha",7,
12-Sep,2011,2b,elstar,13.5,koeling,15-Aug,"captan 0,6kg/ha",7,
12-Sep,2011,2a,golden,2.4,koeling,24-Aug,"captan 0,6kg/ha",7,
13-Sep,2011,2b,elstar,11.4,koeling,15-Aug,"captan 0,6kg/ha",7,
13-Sep,2011,2a,golden,2.4,koeling,24-Aug,"captan 0,6kg/ha",7,
14-Sep,2011,2b,elstar,6,koeling,15-Aug,"captan 0,6kg/ha",7,
14-Sep,2011,2a,golden,8.4,koeling,24-Aug,"captan 0,6kg/ha",7,
14-Sep,2011,5,golden,1.8,afgezet,24-Aug,"captan 1,2kg/ha",21,bestuivers
15-Sep,2011,2b,elstar,2.1,koeling,15-Aug,"captan 0,6kg/ha",7,
15-Sep,2011,2a,golden,13.8,koeling,24-Aug,"captan 0,6kg/ha",7,
16-Sep,2011,2a,golden,16.8,koeling,24-Aug,"captan 0,6kg/ha",7,
17-Sep,2011,2a,golden,9,koeling,24-Aug,"captan 0,6kg/ha",7,
17-Sep,2011,2a en 2b,kroet,6,afgezet,24-Aug,"captan 1,2kg/ha",21,
19-Sep,2011,2a,golden,3.3,koeling,24-Aug,"captan 0,6kg/ha",7,
19-Sep,2011,3,elstar,9.6,koeling,15-Aug,"captan 0,6kg/ha",7,
20-Sep,2011,3,elstar,12,koeling,15-Aug,"captan 0,6kg/ha",7,
21-Sep,2011,3,elstar,9.6,koeling,15-Aug,"captan 0,6kg/ha",7,
22-Sep,2011,2b en 3,elstar,9.6,koeling,15-Aug,"captan 0,6kg/ha",7,
23-Sep,2011,2b,elstar,8.7,koeling,15-Aug,"captan 0,6kg/ha",7,
23-Sep,2011,2b-en 3,kroet,6.6,afgezet,15-Aug,"captan 0,6kg/ha",7,
24-Sep,2011,4,jonagored,7.2,koeling,10-Sep,"captan 0,6kg/ha",7,
24-Sep,2011,4,jonagored,0.6,afgezet,10-Sep,"captan 0,6kg/ha",7,
26-Sep,2011,4,jonagored,3.6,koeling,10-Sep,"captan 0,6kg/ha",7,
26-Sep,2011,2c,junami,9.6,koeling,20-Sep,"switch 0,8kg/ha",3,
27-Sep,2011,4,jonagored,2.7,koeling,10-Sep,"captan 0,6kg/ha",7,
27-Sep,2011,2c,junami,11.4,koeling,20-Sep,"switch 0,8kg/ha",3,
28-Sep,2011,2c,junami,10.2,koeling,20-Sep,"switch 0,8kg/ha",3,
28-Sep,2011,2b,elstar,2.4,koeling,15-Aug,"captan 0,6kg/ha",7,
29-Sep,2011,2c,junami,9.3,koeling,20-Sep,"switch 0,8kg/ha",3,
29-Sep,2011,2b,elstar,2.1,afgezet,15-Aug,"captan 0,6kg/ha",7,
30-Sep,2011,5,junami,10.5,koeling,20-Sep,"switch 0,8kg/ha",3,
30-Sep,2011,"2c,4 en 5",kroet,6.6,afgezet,20-Sep,"switch 0,8kg/ha",3,
01-Oct,2011,2c,junami,0.9,koeling,20-Sep,"switch 0,8kg/ha",3,
01-Oct,2011,2b,elstar,0.6,koeling,15-Aug,"captan 0,6kg/ha",7,
06-Oct,2011,2c,junami,2.4,koeling,20-Sep,"switch 0,8kg/ha",3,
08-Oct,2011,2c,junami,3.6,koeling,20-Sep,"switch 0,8kg/ha",3,
10-Oct,2011,2c,junami,12,koeling,20-Sep,"switch 0,8kg/ha",3,
11-Oct,2011,2c,junami,12,koeling,20-Sep,"switch 0,8kg/ha",3,
11-Oct,2011,2c,kroet,1.5,afgezet,20-Sep,"switch 0,8kg/ha",3,
12-Oct,2011,2c,junami,8.4,koeling,20-Sep,"switch 0,8kg/ha",3,
12-Oct,2011,4,jonagored,3.6,koeling,10-Sep,"captan 0,6kg/ha",7,
13-Oct,2011,4,jonagored,12,koeling,10-Sep,"captan 0,6kg/ha",7,
14-Oct,2011,4,jonagored,6.6,koeling,10-Sep,"captan 0,6kg/ha",7,
14-Oct,2011,5,junami,6.6,koeling,20-Sep,"switch 0,8kg/ha",3,
15-Oct,2011,4,jonagored,3.6,koeling,10-Sep,"captan 0,6kg/ha",7,
17-Oct,2011,4,jonagored,2.1,koeling,10-Sep,"captan 0,6kg/ha",7,
17-Oct,2011,2c en 4,kroet,3.6,afgezet,20-Sep,"switch 0,8kg/ha",3,
20-Oct,2011,2c,junami,6,koeling,20-Sep,"switch 0,8kg/ha",3,
21-Oct,2011,2c,junami,5.1,koeling,20-Sep,"switch 0,8kg/ha",3,
24-Oct,2011,4,jonagored,12,koeling,10-Sep,"captan 0,6kg/ha",7,
25-Oct,2011,4,jonagored,12,koeling,10-Sep,"captan 0,6kg/ha",7,
26-Oct,2011,4,jonagored,10.8,afgezet,10-Sep,"captan 0,6kg/ha",7,
27-Oct,2011,4,jonagored,13.8,afgezet,10-Sep,"captan 0,6kg/ha",7,
27-Oct,2011,4,kroet,4.8,afgezet,10-Sep,"captan 0,6kg/ha",7,
27-Aug,2010,4,kroet,5.25,afgezet,03-Aug,"captan 1,5kg/ha",21,delcorf(verhageld)
04-Sep,2010,1 en 3,kroet,11.4,afgezet,03-Aug,"captan 1,5kg/ha",21,elstar(verhageld)
06-Sep,2010,3,elstar,4.8,koeling,03-Aug,"captan 1,5kg/ha",21,
06-Sep,2010,3,kroet,0.3,afgezet,03-Aug,"captan 1,5kg/ha",21,
07-Sep,2010,3,elstar,9.6,koeling,03-Aug,"captan 1,5kg/ha",21,
07-Sep,2010,3,kroet,1.2,afgezet,03-Aug,"captan 1,5kg/ha",21,
08-Sep,2010,3,elstar,7.2,koeling,03-Aug,"captan 1,5kg/ha",21,
08-Sep,2010,3,kroet,0.6,afgezet,03-Aug,"captan 1,5kg/ha",21,
09-Sep,2010,3,elstar,6,koeling,03-Aug,"captan 1,5kg/ha",21,
09-Sep,2010,3,kroet,0.6,afgezet,03-Aug,"captan 1,5kg/ha",21,
10-Sep,2010,3,elstar,8.4,koeling,03-Aug,"captan 1,5kg/ha",21,
10-Sep,2010,3,kroet,0.6,afgezet,03-Aug,"captan 1,5kg/ha",21,
11-Sep,2010,3,elstar,3,koeling,03-Aug,"captan 1,5kg/ha",21,
13-Sep,2010,2b,elstar,14.4,koeling,18-Aug,"bellis 0,8kg/ha",7,
13-Sep,2010,2b,kroet,0.6,afgezet,18-Aug,"bellis 0,8kg/ha",7,
14-Sep,2010,2b,elstar,13.2,koeling,18-Aug,"bellis 0,8kg/ha",7,
14-Sep,2010,2b,kroet,0.6,afgezet,18-Aug,"bellis 0,8kg/ha",7,
15-Sep,2010,2b,elstar,6,koeling,18-Aug,"bellis 0,8kg/ha",7,
15-Sep,2010,1,elstar,4.8,koeling,03-Aug,"captan 1,5kg/ha",21,
15-Sep,2010,1,kroet,0.9,afgezet,03-Aug,"captan 1,5kg/ha",21,
16-Sep,2010,1 en 3,elstar,9.6,koeling,03-Aug,"captan 1,5kg/ha",21,
16-Sep,2010,1 en 3,kroet,0.6,afgezet,03-Aug,"captan 1,5kg/ha",21,
17-Sep,2010,3,elstar,10.2,koeling,03-Aug,"captan 1,5kg/ha",21,
17-Sep,2010,3,kroet,0.3,afgezet,03-Aug,"captan 1,5kg/ha",21,
20-Sep,2010,3,elstar,10.4,koeling,03-Aug,"captan 1,5kg/ha",21,
20-Sep,2010,3,kroet,0.3,afgezet,03-Aug,"captan 1,5kg/ha",21,
21-Sep,2010,3,elstar,10.4,koeling,03-Aug,"captan 1,5kg/ha",21,
21-Sep,2010,3,kroet,0.3,afgezet,03-Aug,"captan 1,5kg/ha",21,
22-Sep,2010,3,elstar,13.2,koeling,03-Aug,"captan 1,5kg/ha",21,
22-Sep,2010,3,kroet,0.9,afgezet,03-Aug,"captan 1,5kg/ha",21,
23-Sep,2010,3,elstar,1.2,koeling,03-Aug,"captan 1,5kg/ha",21,
23-Sep,2010,2a,golden,12,koeling,26-Aug,"bellis 0,8kg/ha",7,
23-Sep,2010,2a,kroet,0.3,afgezet,26-Aug,"bellis 0,8kg/ha",7,
24-Sep,2010,2a,golden,1.2,koeling,26-Aug,"bellis 0,8kg/ha",7,
24-Sep,2010,2b,elstar,9.6,koeling,18-Aug,"bellis 0,8kg/ha",7,
24-Sep,2010,2b,kroet,0.6,afgezet,18-Aug,"bellis 0,8kg/ha",7,
25-Sep,2010,2b,elstar,1.2,koeling,18-Aug,"bellis 0,8kg/ha",7,
25-Sep,2010,2a,golden,6,koeling,26-Aug,"bellis 0,8kg/ha",7,
25-Sep,2010,2a,kroet,0.3,afgezet,26-Aug,"bellis 0,8kg/ha",7,
26-Sep,2010,1 en 2b,golden,1.2,koeling,26-Aug,"bellis 0,8kg/ha",7,
27-Sep,2010,2a,golden,17.1,koeling,26-Aug,"bellis 0,8kg/ha",7,
27-Sep,2010,2a,kroet,0.6,afgezet,26-Aug,"bellis 0,8kg/ha",7,
28-Sep,2010,1 en 2b,elstar,6,koeling,03-Aug,"captan 1,5kg/ha",21,
28-Sep,2010,2a,golden,3.9,koeling,26-Aug,"bellis 0,8kg/ha",7,
28-Sep,2010,1 en 2b,kroet,0.6,afgezet,03-Aug,"captan 1,5kg/ha",21,
29-Sep,2010,2a,golden,11.1,koeling,26-Aug,"bellis 0,8kg/ha",7,
29-Sep,2010,2b,elstar,1.2,koeling,18-Aug,"bellis 0,8kg/ha",7,
29-Sep,2010,2a,kroet,0.6,afgezet,26-Aug,"bellis 0,8kg/ha",7,
29-Sep,2010,2c,junami,0.6,koeling,01-Sep,"bellis 0,8kg/ha",7,
30-Sep,2010,2c,junami,4.2,koeling,01-Sep,"bellis 0,8kg/ha",7,
30-Sep,2010,2a,golden,2.4,koeling,26-Aug,"bellis 0,8kg/ha",7,
30-Sep,2010,2a/2c,kroet,0.3,afgezet,01-Sep,"bellis 0,8kg/ha",7,
01-Oct,2010,2c,junami,11.4,koeling,01-Sep,"bellis 0,8kg/ha",7,
01-Oct,2010,2c,kroet,0.9,afgezet,01-Sep,"bellis 0,8kg/ha",7,
04-Oct,2010,2c,junami,11.4,koeling,01-Sep,"bellis 0,8kg/ha",7,
04-Oct,2010,2c,kroet,0.6,afgezet,01-Sep,"bellis 0,8kg/ha",7,
05-Oct,2010,4,jonagored,10.8,koeling,18-Sep,"captan 0,6kg/ha",7,
05-Oct,2010,4,kroet,1.5,afgezet,18-Sep,"captan 0,6kg/ha",7,
06-Oct,2010,2c,junami,1.8,koeling,01-Sep,"bellis 0,8kg/ha",7,
06-Oct,2010,4,jonagored,10.8,koeling,18-Sep,"captan 0,6kg/ha",7,
06-Oct,2010,4,kroet,1.2,afgezet,18-Sep,"captan 0,6kg/ha",7,
07-Oct,2010,1,golden,0.6,koeling,26-Aug,"bellis 0,8kg/ha",7,
07-Oct,2010,4,jonagored,11.4,koeling,18-Sep,"captan 0,6kg/ha",7,
07-Oct,2010,4,kroet,1.2,afgezet,18-Sep,"captan 0,6kg/ha",7,
08-Oct,2010,4,jonagored,3.6,koeling,18-Sep,"captan 0,6kg/ha",7,
08-Oct,2010,2c,junami,7.5,koeling,01-Sep,"bellis 0,8kg/ha",7,
08-Oct,2010,4,kroet,0.9,afgezet,18-Sep,"captan 0,6kg/ha",7,
09-Oct,2010,4,jonagored,3.9,koeling,18-Sep,"captan 0,6kg/ha",7,
09-Oct,2010,4,kroet,0.6,afgezet,18-Sep,"captan 0,6kg/ha",7,
11-Oct,2010,4,jonagored,1.8,koeling,18-Sep,"captan 0,6kg/ha",7,
11-Oct,2010,2c,junami,7.2,koeling,01-Sep,"bellis 0,8kg/ha",7,
11-Oct,2010,2c,kroet,0.6,afgezet,01-Sep,"bellis 0,8kg/ha",7,
12-Oct,2010,2c,junami,10.5,koeling,01-Sep,"bellis 0,8kg/ha",7,
12-Oct,2010,2c,kroet,0.9,afgezet,01-Sep,"bellis 0,8kg/ha",7,
18-Oct,2010,4,jonagored,9.6,koeling,18-Sep,"captan 0,6kg/ha",7,
18-Oct,2010,4,kroet,0.6,afgezet,18-Sep,"captan 0,6kg/ha",7,
19-Oct,2010,4,jonagored,9.6,koeling,18-Sep,"captan 0,6kg/ha",7,
19-Oct,2010,4,kroet,0.6,afgezet,18-Sep,"captan 0,6kg/ha",7,
20-Oct,2010,4,jonagored,8.4,koeling,18-Sep,"captan 0,6kg/ha",7,
20-Oct,2010,4,kroet,0.6,afgezet,18-Sep,"captan 0,6kg/ha",7,
21-Oct,2010,4,jonagored,4.2,koeling,18-Sep,"captan 0,6kg/ha",7,
21-Oct,2010,2c,junami,2.4,koeling,01-Sep,"bellis 0,8kg/ha",7,
21-Oct,2010,2c,kroet,0.3,afgezet,18-Sep,"captan 0,6kg/ha",7,
22-Oct,2010,2c,junami,4.8,koeling,01-Sep,"bellis 0,8kg/ha",7,
22-Oct,2010,2c,kroet,0.9,afgezet,01-Sep,"bellis 0,8kg/ha",7,
26-Oct,2010,4,jonagored,0.6,koeling,18-Sep,"captan 0,6kg/ha",7,
