Oogstdatum,Oogstjaar,Perceel,Ras,Tonnen,Koeling of,Datum laatste bespuiting,Middel en dosering/ha,Veiligheidstermijn (dgn.),Opmerkingen
24-09-15,2015,3,Elstar,14.4,koeling,14-aug,"0,6kg captan w6",7,
25-09-15,2015,3,Elstar,15.3,koeling,14-aug,"0,6kg captan w6",7,
26-09-15,2015,3,Elstar,2.7,koeling,14-aug,"0,6kg captan w6",7,
26-09-15,2015,2a,golden,3.6,koeling,18-Sep,"0,6kg captan w6",7,
26-09-15,2015,3,kroet,3.3,afgezet,14-aug,"0,6kg captan w6",7,
28-09-15,2015,3,Elstar,17.1,koeling,14-aug,"0,6kg captan w6",7,
29-09-15,2015,3,Elstar,16.2,koeling,14-aug,"0,6kg captan w6",7,
30-09-15,2015,2a,golden,15.3,koeling,18-Sep,"0,6kg captan w6",7,
01-10-15,2015,2a,golden,13.8,koeling,18-Sep,"0,6kg captan w6",7,
02-10-15,2015,2a,golden,16.5,koeling,18-Sep,"0,6kg captan w6",7,
03-10-15,2015,2a,golden,7.2,koeling,18-Sep,"0,6kg captan w6",7,
03-10-15,2015,2a,kroet,3.6,afgezet,18-Sep,"0,6kg captan w6",7,
05-10-15,2015,2a,golden,16.8,koeling,18-Sep,"0,6kg captan w6",7,
06-10-15,2015,2a,golden,5.1,koeling,18-Sep,"0,6kg captan w6",7,
06-10-15,2015,4,Joly-red,16.8,afgezet,18-Sep,"0,6kg captan w6",7,
07-10-15,2015,2a,golden,5.1,koeling,18-Sep,"0,6kg captan w6",7,
07-10-15,2015,4,Joly-red,14.1,afgezet,18-Sep,"0,6kg captan w6",7,
08-10-15,2015,2b,Elstar,12.6,afgezet,14-aug,"0,6kg captan w6",7,
09-10-15,2015,2b,Elstar,16.2,afgezet,14-aug,"0,6kg captan w6",7,
10-10-15,2015,2b,Elstar,4.5,afgezet,14-aug,"0,6kg captan w6",7,
11-10-15,2015,2b/c,golden,3.6,koeling,26-Sep,"0,6kg captan w6",7,
11-10-15,2015,2b/4,kroet,7.2,afgezet,18-Sep,"0,6kg captan w6",7,
12-10-15,2015,2b,Elstar,4.8,afgezet,14-aug,"0,6kg captan w6",7,
