Categorie,Subcategorie,Rekening,Omschrijving,Boekjaar, Bedrag , OOP Breaburn , OOP Delcorf , OOP Elstar , OOP Golden , OOP Joly-Red , OOP Jonagold , OOP Jonagored , OOP Junami , OOP kroet/industrie appels , OOP Milwa ,Bedrag Genormaliseerd
Aanvoer,Kosten,Productheffing,Productheffing,2014,1742.49,1.26,7.72,431.27,225.69,0.00,38.33,0.00,217.25,724.11,96.88,1742.49
Aanvoer,Kosten,Provisie,Provisie lid,2014,8641.99,6.25,38.27,2138.89,1119.30,0.00,190.09,0.00,1077.45,3591.25,480.49,8641.99
Aanvoer,Kosten,Royalty Junami,Royaltykst Junami,2014,891.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,891.99,0.00,0.00,891.99
Aanvoer,Kosten,Promotie Junami,Promotiekst Junami,2014,2044.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2044.26,0.00,0.00,2044.26
Aanvoer,Kosten,Productheffing Junami,Heffingskst Junami,2014,1672.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1672.60,0.00,0.00,1672.60
Fust,Balans,Fust,Fust m.m. Ingel. Aanvo.,2014,105991.27,,,,,,,,,,,105991.27
Kosten,Balans,Voorschot Junami,Voorschot Junami,2014,31575.00,,,,,,,,,,,31575.00
Kosten,Kosten,Administratie,Aanvoerboek,2014,18.16,0.01,0.08,4.49,2.35,0.00,0.40,0.00,2.26,7.55,1.01,18.16
Kosten,Kosten,Administratie,Administratiekosten,2014,55.37,0.04,0.25,13.70,7.17,0.00,1.22,0.00,6.90,23.01,3.08,55.37
Kosten,Kosten,Analyse,Analysekosten,2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Preventie,Crisispreventie,2014,8214.21,5.94,36.37,2033.02,1063.90,0.00,180.68,0.00,1024.11,3413.48,456.71,8214.21
Kosten,Kosten,Fust,Fustbon,2014,0.46,0.00,0.00,0.11,0.06,0.00,0.01,0.00,0.06,0.19,0.03,0.46
Kosten,Kosten,Koelen,Koelloon,2014,10709.17,13.25,81.14,4535.13,2373.28,0.00,403.05,0.00,2284.53,0.00,1018.80,10709.17
Kosten,Kosten,Algemeen Junami,Kosten Junami,2014,-6293.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6293.90,0.00,0.00,6293.90
Kosten,Kosten,Algemeen,Onvoorziene kosten,2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Opbrengsten,Bonus,Resultaatbonus,2014,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Sorteren,Sorteerkosten,2014,26243.23,32.46,198.83,11113.51,5815.80,0.00,987.69,0.00,5598.33,0.00,2496.60,26243.23
Kosten,Balans,Etiketteren,Stikkeren,2014,10.50,,,,,,,,,,,10.50
Kosten,Kosten,Algemeen,Touw/diverse,2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Zorgsystemen,Zorgsystemen,2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Balans,BTW,BTW,2014,-6076.40,,,,,,,,,,,6076.40
Kosten,Kosten,Vracht,vrachtkosten,2014,5764.02,4.17,25.52,1426.59,746.55,0.00,126.79,0.00,718.63,2395.29,320.48,5764.02
Kosten,Kosten,Algemeen,contributie leden,2014,100.00,0.07,0.44,24.75,12.95,0.00,2.20,0.00,12.47,41.56,5.56,100.00
Kosten,Kosten,Smart Fresh,kst smart fresh,2014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aanvoer,Balans,Algemeen Junami,verkoopmarge junami,2014,371.68,,,,,,,,,,,371.68
Kosten,Balans,Aankopen,bomen aankoop,2014,37867.00,,,,,,,,,,,37867.00
Kosten,Kosten,Opslag,opslag voorraadbakken,2014,1050.00,0.76,4.65,259.87,136.00,0.00,23.10,0.00,130.91,436.34,58.38,1050.00
Aanvoer,Opbrengsten,Omzet,Productomzet,2015,-185247.22,,,,,,,,,,,185247.22
Aanvoer,Balans,Fust,Fust eenmalig,2015,-3063.84,,,,,,,,,,,3063.84
Aanvoer,Balans,Fust,Fust meermalig,2015,-102002.50,,,,,,,,,,,102002.50
Aanvoer,Balans,Fust,Fust huur terugbet.,2015,-2750.67,,,,,,,,,,,2750.67
Aanvoer,Balans,Verpakking,Verpakkingskosten,2015,-528.92,,,,,,,,,,,528.92
Aanvoer,Balans,Pallet,Pallet eenmalig,2015,-513.87,,,,,,,,,,,513.87
Aanvoer,Balans,Pallet,Pallet meermalig,2015,-1401.83,,,,,,,,,,,1401.83
Aanvoer,Kosten,Productheffing,Productheffing,2015,1842.54,0.00,22.84,370.10,290.36,111.66,0.00,0.00,474.87,402.80,169.91,1842.54
Aanvoer,Kosten,Provisie,Provisie lid,2015,7845.14,0.00,97.25,1575.80,1236.30,475.41,0.00,0.00,2021.90,1715.02,723.46,7845.14
Aanvoer,Kosten,Royalty Junami,Royaltykst Junami,2015,1458.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1458.32,0.00,0.00,1458.32
Aanvoer,Kosten,Promotie Junami,Promotiekst Junami,2015,1822.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1822.97,0.00,0.00,1822.97
Aanvoer,Kosten,Productheffing Junami,Heffingskst Junami,2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fust,Balans,Fust,Fust m.m. Ingel. Aanvo.,2015,118960.18,,,,,,,,,,,118960.18
Kosten,Balans,Voorschot Junami,Voorschot Junami,2015,0.00,,,,,,,,,,,0.00
Kosten,Kosten,Administratie,Aanvoerboek,2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Administratie,Administratiekosten,2015,46.33,0.00,0.57,9.31,7.30,2.81,0.00,0.00,11.94,10.13,4.27,46.33
Kosten,Kosten,Analyse,Analysekosten,2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Preventie,Crisispreventie,2015,2876.27,0.00,35.65,577.74,453.27,174.30,0.00,0.00,741.29,628.78,265.24,2876.27
Kosten,Kosten,Fust,Fustbon,2015,0.23,0.00,0.00,0.05,0.04,0.01,0.00,0.00,0.06,0.05,0.02,0.23
Kosten,Kosten,Koelen,Koelloon,2015,7272.42,0.00,115.37,1869.44,1466.68,564.00,0.00,0.00,2398.67,0.00,858.27,7272.42
Kosten,Kosten,Algemeen Junami,Kosten Junami,2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Kosten,Algemeen Joly-Red,kosten joly-red,2015,-11736.00,0.00,0.00,0.00,0.00,11736.00,0.00,0.00,0.00,0.00,0.00,11736.00
Kosten,Kosten,Algemeen,Onvoorziene kosten,2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosten,Opbrengsten,Bonus,Resultaatbonus,2015,-5499.31,,,,,,,,,,,5499.31
Kosten,Kosten,Sorteren,Sorteerkosten,2015,27575.30,0.00,437.44,7088.48,5561.30,2138.56,0.00,0.00,9095.17,0.00,3254.35,27575.30
Kosten,Balans,Etiketteren,Stikkeren,2015,35.00,,,,,,,,,,,35.00
Kosten,Kosten,Algemeen,Touw/diverse,2015,195.00,0.00,2.42,39.17,30.73,11.82,0.00,0.00,50.26,42.63,17.98,195.00
Kosten,Kosten,Zorgsystemen,Zorgsystemen,2015,150.00,0.00,1.86,30.13,23.64,9.09,0.00,0.00,38.66,32.79,13.83,150.00
Kosten,Balans,BTW,BTW,2015,-5071.62,,,,,,,,,,,5071.62
Kosten,Kosten,Vracht,vrachtkosten,2015,8005.68,0.00,99.24,1608.05,1261.60,485.14,0.00,0.00,2063.27,1750.12,738.26,8005.68
Kosten,Kosten,Algemeen,contributie leden,2015,100.00,0.00,1.24,20.09,15.76,6.06,0.00,0.00,25.77,21.86,9.22,100.00
Kosten,Kosten,Smart Fresh,kst smart fresh,2015,8240.79,0.00,102.15,1655.27,1298.65,499.39,0.00,0.00,2123.87,1801.52,759.94,8240.79
Aanvoer,Balans,Algemeen Junami,verkoopmarge junami,2015,607.69,,,,,,,,,,,607.69
Kosten,Balans,Aankopen,bomen aankoop,2015,1004.00,,,,,,,,,,,1004.00
Kosten,Kosten,Opslag,opslag voorraadbakken,2015,1050.00,0.00,13.02,210.91,165.47,63.63,0.00,0.00,270.61,229.54,96.83,1050.00
Aanvoer,Opbrengsten,Omzet,Productomzet,2016,-281111.21,,,,,,,,,,,281111.21
Aanvoer,Balans,Fust,Fust eenmalig,2016,-18250.54,,,,,,,,,,,18250.54
Aanvoer,Balans,Fust,Fust meermalig,2016,-11.85,,,,,,,,,,,11.85
Aanvoer,Balans,Fust,Fust huur terugbet.,2016,0.00,,,,,,,,,,,0.00
Aanvoer,Balans,Verpakking,Verpakkingskosten,2016,0.00,,,,,,,,,,,0.00
Aanvoer,Balans,Pallet,Pallet eenmalig,2016,0.00,,,,,,,,,,,0.00
Aanvoer,Balans,Pallet,Pallet meermalig,2016,-13.61,,,,,,,,,,,13.61
Aanvoer,Kosten,Productheffing,Productheffing,2016,2581.16,0.00,0.00,512.54,302.20,346.69,0.00,0.00,547.35,759.19,113.19,2581.16
Aanvoer,Kosten,Provisie,Provisie lid,2016,10929.28,0.00,0.00,2170.23,1279.59,1467.96,0.00,0.00,2317.61,3214.60,479.29,10929.28
Aanvoer,Kosten,Royalty Junami,Royaltykst Junami,2016,1860.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1860.63,0.00,0.00,1860.63
Aanvoer,Kosten,Algemeen Inova,organisatiekostem inova,2016,2806.84,0.00,0.00,557.36,328.62,377.00,0.00,0.00,595.21,825.57,123.09,2806.84
Aanvoer,Kosten,Marketing Junami,marketingkstn junami,2016,4263.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4263.93,0.00,0.00,4263.93
Aanvoer,Kosten,Algemeen Marketing,internale marketingskst,2016,935.68,0.00,0.00,185.80,109.55,125.68,0.00,0.00,198.42,275.21,41.03,935.68
Aanvoer,Kosten,Promotie Junami,Promotiekst Junami,2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aanvoer,Kosten,Productheffing Junami,Heffingskst Junami,2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
